AnimalID,Name,Breed,Species,RegNum
1010,Marburl's Hondo II, Boxer,Test,WS28875903
23,Signet Mes Yeux Vigilants, Canine,Test,
403,Shshowns Royal Rapscallion, Dunlop,Test,DN095128-04
912,Fablehart Robovull Hot Commodity, Frenchie,Test,
997,Gracyn N Lost Creek Stealing Hearts, Great Dane,Test,WS396657-05
DQ0118071206,(No Name), Irish Wolfhound,Test,HM539289-02
132,Esslee Creighzhey Fletch, Irish Wolfhound,Test,HP34934603
DQ01191116016,(No Name), Irish Wolfhound?,Test,HP156796-01
30,Asgard Out Of The Blue, Mastiff,Test,WR006445-01
500,Lazy D's Southers Mossy Oak, Mastiff,Test,WS239496-02
3334,Midnite Bays Polar Express, New Foundland,Test,WS187615-01
3030,PR Most Wanted Kid Wright, Pit Bull,Test,
Brutus,Brutus Z Kocicilio Dvora, Red Lab,Test,DN283133-01
995,Otley Gen J. Logan, Terrier,Test,
1007,MKC Fergus of Margie Monroe, Westy,Test,RN241446-03
CV976122107,(No Name), Whippet,Test,HM760638-01
8888,Chapelton's Crosstown Traffic, Whippet,Test,HP39330802
33,Nip N Tuck Redis Ch. 1, Ylw Lab,Test,SN925557-03
79,Summer Winds Ego Trip,Afghan,Test,HP0395441-01
2000,Kobus Kount On The Rough Rider,Akita,Test,WS186386-01
8015,Liberty's Dr. Feel Good,Akita,Test,WS389458-02
160,Libertys Game Changer,Akita,Test,WS371579-01
6001,Liberty's High Voltage,Akita,Test,WS3339202
5557,Royals  Tell Me I Can't,Akita,Test,WS58238308
38,Grays Domino,Am. Staff.,Test,
1919,Double L's Loki of EBK,Amer Bully,Test,217751
83,McMillans Diamond,Amer. Foxhound,Test,IFSB345736
2046,Magic,Amer. Pit Bull,Test,
16AA3053,Bolz Ranch BZ 1718,American Akaushi,Test,AF119586
16AA2802,Heartbrand 1341Z,American Akaushi,Test,AF31759
16AA2135,Heartbrand B3455R,American Akaushi,Test,AF3964
16AA2136,Heartbrand V7130W,American Akaushi,Test,AF8478
16AA3054,MCC 276-6890,American Akaushi,Test,AF91315
16AA2719,MCC 7A011,American Akaushi,Test,AF33641
16AA2803,MCC B4046,American Akaushi,Test,AF49774
16AA2469,MCC S4032,American Akaushi,Test,AF49761
34,ESCO of Walkers,American Pit Bull,Test,na
64,ESCO of Walkers,American Pit Bull,Test,na
39,Renoman,American Pit Bull,Test,14017AP-30
666,Top Dog Bullies Ares,American Pit Bull,Test,
G757 Ares,Ares (Yomil Torres Noemi Cardenas),American Pitbull Terrier,Test,A693067
G757 Ares 4-13-17,Yomil Torres Noemi Cardenas,American Pitbull Terrier,Test,A6963067
U801,,Amerifax,Test,
AM8170,108 Amerifax Big Gym,Amerifax,Test,
16AMZ617,348 U,Amerifax,Test,
16AMZ728,382 X,Amerifax,Test,
16AMT966,488 D,Amerifax,Test,
AM4,Compromise,Amerifax,Test,
AM3,Double Notch,Amerifax,Test,
129AM5,Equalizer,Amerifax,Test,
AM5,Equalizer,Amerifax,Test,
16AMZ475,FAF Knockout 034,Amerifax,Test,
16AMZ458,FAF Pattern 789T,Amerifax,Test,
16AMZ630,FAF Showman 313,Amerifax,Test,
378J,H Arrow King 053-90,Amerifax,Test,4981
Pipettes,H Arrow King 053-90,Amerifax,Test,4981
Red B,H Arrow King 053-90,Amerifax,Test,4981
AM1,High Point ,Amerifax,Test,
AM2,Marathon (Tatoo 105),Amerifax,Test,
16AMN447,OCC 341F,Amerifax,Test,
129AM383,OCC Breeze 383B,Amerifax,Test,
AM395,OCC Buchanan 493B,Amerifax,Test,
129AM385,OCC Comanche 309C,Amerifax,Test,
AM385,OCC Comanche 309C,Amerifax,Test,
AM386,OCC Criterion 345L,Amerifax,Test,
AM325,OCC Dakota 409A,Amerifax,Test,10670
16AMZ679,OCC Drover 300X,Amerifax,Test,
AM300X,OCC Drover 300X,Amerifax,Test,
129AM318,OCC Duration 318B,Amerifax,Test,
16AMN213,OCC Encounter 348E,Amerifax,Test,
16AMN379,OCC Exacto 482E,Amerifax,Test,
16AMN212,OCC Expresso 341E,Amerifax,Test,
16AMN361,OCC Flawless 304F,Amerifax,Test,
16AMT546,OCC Granite 337B,Amerifax,Test,
16AM0065,OCC Hesston 352H,Amerifax,Test,
16AM0064,OCC Hulk 301H,Amerifax,Test,
129AM317 355Z,OCC Legend 355Z,Amerifax,Test,
355Z 129AM317,OCC Legend 355Z,Amerifax,Test,
AM405,OCC Legends Reflection 304P,Amerifax,Test,
AM0706,OCC Lowboy 343L,Amerifax,Test,
16AMZ729,OCC Pioneer 335X,Amerifax,Test,
AM316,OCC Ramrod,Amerifax,Test,
16AMZ459,OCC Red Man 348S,Amerifax,Test,
137AM3746,OCC YOU GOT IT 660Y,Amerifax,Test,17192507
137AM3743,OCC You'r The Best 666Y,Amerifax,Test,17192509
ARCHON,QLC Archon E80K,Amerifax,Test,
F25,QLC Archon E80K,Amerifax,Test,
108AM908,Star,Amerifax,Test,
129AM06,Turn Black,Amerifax,Test,
AM06,Turn Black,Amerifax,Test,
AM116,W2 Bad Freeman 120,Amerifax,Test,
AM169,Waylons Image 115,Amerifax,Test,
16AN1791,982,Angus,Test,
54AN3011,3011,Angus,Test,
16ANN396,6041,Angus,Test,
ECH,,Angus,Test,
7AN154,2 RT 2,Angus,Test,
49AN2000,2000 Plus,Angus,Test,
237AN2070,21AR Roundup 7005,Angus,Test,
90AN6730,3210 Right Time 0919,Angus,Test,
AN194,6I6,Angus,Test,
90AN174,712 Z Nautilus,Angus,Test,
54AN8103,8103 Ideal 8103 of Eldo 5110 5213,Angus,Test,11142393
59AN480,95 Nugget 2,Angus,Test,12363922
29AN1371,AAR Maverick,Angus,Test,9825048
29AN1378,AAR New Trend,Angus,Test,
AN265,AAR New Trend,Angus,Test,
014AN00377,AAR Ten X 7008,Angus,Test,15719541
14AN377,AAR Ten X 7008,Angus,Test,
14AN0377,AAR Ten X 7708,Angus,Test,15719841
54AN994,Aberdeen X575,Angus,Test,
29AN1783,Absolute,Angus,Test,
16AN0634,ACF-Ambush 0260,Angus,Test,13985044
271AN3403,Advance 28,Angus,Test,
16AN1905,Akers Missing Link 9603,Angus,Test,16925741
90AN4246,Alberda Traveler 416,Angus,Test,12176446
90AN4248,Alberta Traveler,Angus,Test,
AN0689,Algoma 48 of Ideal 525 69,Angus,Test,6495213
AN1693,All Around,Angus,Test,
14AN231,Alliance 9126 6006,Angus,Test,
36AN1431,Alliance Winchester 975,Angus,Test,
1AN1356,Allied 514,Angus,Test,217348
7AM80,Ambush,Angus,Test,
1AN1306,American Classic,Angus,Test,
AN1306,American Classic,Angus,Test,
41AN3191,Ankonian Caesar,Angus,Test,13465406
9F12,Ankonian Dynamo,Angus,Test,6639770
AN30,Ankonian Dynamo,Angus,Test,
Dynamo,Ankonian Dynamo,Angus,Test,6639770
186AN0165,Ardrossan Direction W109,Angus,Test,
59AN1067,B/R 65R Genesis,Angus,Test,
AN340,B/R 65R Genesis 340,Angus,Test,
29AN1551,B/R Destination 727-928,Angus,Test,
54AN3342,B/R Midland,Angus,Test,
29AN1472,B/R New Design 036,Angus,Test,
106AN9787,B/R New Design 036-1122,Angus,Test,13879787
29AN1593,B/R New Design 323/9150,Angus,Test,
59AN614,B/R New Dimension 7127,Angus,Test,12784319
14AN0223,B/R New Frontier 095,Angus,Test,13588640
AN4238,B/R Progressive,Angus,Test,14686041
262AN0866,B3R Back To Basics U077,Angus,Test,
16AN2721,B3R C133 96 A288 A317,Angus,Test,18427231
16AN2722,B3R C428 Bando Z476 U140HR,Angus,Test,18451027
M048,B3R M048 CAFD 0125,Angus,Test,14459636
16AN1146,B3R P325 0004 Electra 1028,Angus,Test,15002793
109AN1478,B3R Real Money X523,Angus,Test,
157AN3287,B3R Replicate U019,Angus,Test,16319418
7AN443,Baldgidge Bronc,Angus,Test,18229425
106AN1653,Baldridge Colonel C251,Angus,Test,
129AN1681,Baldridge Denali,Angus,Test,
106AN6736,Baldridge Great One 524,Angus,Test,12216736
54AN3021,Baldridge Kaboom K243,Angus,Test,13987017
16AN1356,Baldridge Radical R3,Angus,Test,15172027
16AN1357,Baldridge SCC Patriot P816,Angus,Test,14991993
AN1349,Band 105 561 77,Angus,Test,9024957
7174,Band 116 of Ideal 2118 7174,Angus,Test,
29AN1333,Band 116 of Ideal 2118 7174,Angus,Test,9000542
29AN1349,"BAND 234 OF IDEAL 3163 ""Band 105""",Angus,Test,8505294
21AN0735,Bando 598,Angus,Test,11104267
1AN1018,Bando 9074,Angus,Test,
16ANN441,Bando of Verola 693,Angus,Test,
7AN178,BAR EXT Traveler 205,Angus,Test,
AN178,Bar EXT Traveler 205,Angus,Test,
EXT,BAR EXT Traveler 205,Angus,Test,12452829
157AN2135,Bar N193 854E Emlazon 9180,Angus,Test,4737893
237AN3190,Bar R Jet Black 5063,Angus,Test,18389838
16AN0265,Bar S Choice Plus 9353,Angus,Test,13116363
AN5826,Bar S Edge Walker 9275,Angus,Test,
16ANN251,Bar S EXT 490,Angus,Test,
16ANN282,Bar S EXT 556,Angus,Test,
16ANN394,Bar S EXT 6026,Angus,Test,
16AN0264,Bar S Fame 9069,Angus,Test,
16ANZ990,Bar S Fortune 088,Angus,Test,11437478
54AN748,Bar S Gamechanger 1207,Angus,Test,17107473
16ANN559,Bar S Ladies Man 7055,Angus,Test,584076
16ANN249,Bar S Meat Trend,Angus,Test,12435259
54AN7147,BAR S Range Boss 1118,Angus,Test,17107449
272AN0702,BAR S Range Boss 4002,Angus,Test,
16AN0458,Bar S Steakhouse 0113,Angus,Test,13666009
16AN0459,Bar S Storm Front 0175,Angus,Test,13666023
262AN754,Barco T Sober GN91,Angus,Test,16971895
AN16,Bard L586,Angus,Test,
106AN0193,BARR Fast Forward 1193,Angus,Test,
16AN1886,Barrett 0966 of 4004,Angus,Test,16975228
16AN3068,Barrett 7221 4004 PW,Angus,Test,19108257
16AN2868,Barrett Bud 685-2526 BAR,Angus,Test,18933723
16AN2327,Barrett Easy Answer 381,Angus,Test,17923808
16AN2547,Barrett Firestone 487,Angus,Test,18319290
16AN2490,Barrett Overdrive 4856,Angus,Test,18175358
279AN01335,Barrett Overdrive 4856,Angus,Test,
279AN01358,Barrett Overdrive 4856,Angus,Test,
279AN1358,Barrett Overdrive 4856,Angus,Test,
16AN2513,Barrett Super Duty 4855,Angus,Test,18175357
279AN1360,Barrett Super Duty 4855,Angus,Test,
16AN2326,Barrett Walt 384,Angus,Test,17926615
16AN2338,Barretts 3332 017 FA,Angus,Test,178618596
16AN1411,Barretts 6299 of 2102 OT,Angus,Test,
272 AN1118,Barstow Cash,Angus,Test,
272AN1118,Barstow Cash,Angus,Test,
AN1118,Barstow Cash,Angus,Test,
16AN3036,Bartels Valor 6545 787,Angus,Test,19038133
54AN5959,BAS S Final Answer 1013,Angus,Test,17107438
AN2581,Basin Advance 3134,Angus,Test,
1AN1230,Basin Excitement,Angus,Test,16047404
237AN1810,Basin Franchise,Angus,Test,
29AN1501,Basin Max 602C,Angus,Test,
AN1501,Basin Max 602C,Angus,Test,
29AN1895,Basin Payweight 1682,Angus,Test,
A776,Basin Rainmaker 654X,Angus,Test,
7AN133,Basin Rainmaker 8142,Angus,Test,
16ANN530,BAX Elite 16-4182,Angus,Test,12623113
109AN939,BC 7022 Raven 7965,Angus,Test,15034593
AN4645,BC 7022 Raven 7965,Angus,Test,
16AN1619,BC 854E Rubicon 702-5,Angus,Test,15431019
AN4872,BC Big Daddy 7025,Angus,Test,
507AN332,BC Classic 385-7,Angus,Test,15748956
109AN1047,BC Eagle Eye 110-7,Angus,Test,
109AN1561,BC II Skyfall 2012,Angus,Test,17395299
54AN7825,BC Linebred 726,Angus,Test,
1AN1129,BC Lookout 7024,Angus,Test,14791623
54AN4330,BC Lookout 7024,Angus,Test,14791623
AN4330,BC Lookout 7024,Angus,Test,
AN4330 (1AN1129),BC Lookout 7024,Angus,Test,14791623
54AN3706,BC Marathon 7022,Angus,Test,14187839
AN1122,BC Marathon 7022,Angus,Test,14187839
AN3706,BC Marathon 7022,Angus,Test,
1AN1105,BC Matrix 4132,Angus,Test,
16AN1557,BC Orbit 702T,Angus,Test,16016160
AN939,BC Raven,Angus,Test,
1AN1128,BC Rocket 44,Angus,Test,
1AN1010,BCC Bushwacker 41-93,Angus,Test,
1AN1122,BCC Marathon 7022,Angus,Test,14187839
21AN749,BDAR Lucy's Boy 95111,Angus,Test,11567326
36AN1290,Beal of Wye UMF 9288,Angus,Test,15600072
1AN1387,Beast Mode,Angus,Test,
Jueanau (157AN1541),BEB Juneau 104,Angus,Test,13892119
AN1084,Beef Maker,Angus,Test,
AN1783,Bennet Absolute,Angus,Test,
29AR186,BFCK Cherokee Canyon 4912,Angus,Test,
7AN249,Big Eye 009N,Angus,Test,
16ANZ281,Big Guy R704,Angus,Test,
AN3660,Big Softly,Angus,Test,
137AN3360,BJ Improver 906,Angus,Test,16469153
90AN7737,Black Brylor Kodiak 204Y,Angus,Test,
16ANZ598,Black Gold Panama,Angus,Test,10920353
54AN1250,Blackcap Lad,Angus,Test,
AN74,Blacklock McHenry 13Y,Angus,Test,
AN0332,Blevin Tres Marias Patron 205,Angus,Test,
16AN0237,BLR Russ 9082,Angus,Test,13308522
AN1610,Bluegrass Major Design 202,Angus,Test,
179AN192,BNWZ/SWNY Speciality 7200,Angus,Test,18934845
16AN2421,Bobcat A23,Angus,Test,17566434
AN1999,Bon View 1047,Angus,Test,
21AN735,Bon View Bando 598,Angus,Test,11104267
1AN743,Bon View Emulation  EXT 473,Angus,Test,11901155
21AN0743,Bon View Emulation EXT 473,Angus,Test,11901155
29AN1523,Bon View New Design,Angus,Test,
9AN76,Bon View New Design 208,Angus,Test,13044574
529AN1523,Bon View New Design 878,Angus,Test,13062750
AG87,Bonanza of Wye,Angus,Test,4792475
54AN1999,Bonview New Design 1407,Angus,Test,12783540
272AN0439,Boss Hoss 139,Angus,Test,
36AN1430,Boss Hoss 8132,Angus,Test,
AN0676,Boss Legacy 3116,Angus,Test,
AN0525,Boss Prowler 250,Angus,Test,
1AN1084,Boyd Beef Maker 3069,Angus,Test,
1AN1000,Boyd New Day 8005,Angus,Test,1305080
106AN0330,BR Future Direction 330,Angus,Test,14385386
AN3342,BR Midland,Angus,Test,
AN1593,B-R New Design 323-9150,Angus,Test,
ANT961,Broadside,Angus,Test,
AN1592,Brook EXT 792,Angus,Test,
16ANN397,Brooks New 8E8 215 SCC,Angus,Test,11777709
29AN1457,Brooks Premium 302,Angus,Test,
1AN1310,Bruin Breaking News 2201,Angus,Test,
1AN1226,Bruin Uproar 0070,Angus,Test,16858775
AN1013,Bruno 5616,Angus,Test,
54AN5721,BSAR Oportunity 9114,Angus,Test,
272AN6123,BSF Opportunist Z5,Angus,Test,
158AN222,BSS Road Builder,Angus,Test,
16ANN304,BT Dolan 74D,Angus,Test,12162866
49AN1180,BT New Trend B192,Angus,Test,
14AN0228,BT Right Time 24J,Angus,Test,
14AN199,BT Ultravox 297E,Angus,Test,
16GV1982,BTBR Mr Black Cross 1170,Angus,Test,1184487
GV1982,BTBR Mr Black Cross 1170,Angus,Test,1184487
59AN1170,Buffalos Conclusive BN46,Angus,Test,14687390
AN2624,Buffalos Conclusive BN46,Angus,Test,14687390
1AN1258,Bufford ABF All Purpose,Angus,Test,17012908
16AN2308,Bufford Emblazon A402,Angus,Test,17722960
16AN1728,Buford Home Run 9852,Angus,Test,16543374
1AN1390,Buford Pathfinder C304,Angus,Test,18251463
36AN198,Burgas of Wye UMF 6801 ,Angus,Test,11618854
1AN1022,Bushs Grand Design,Angus,Test,13697595
AN298,Bush's Unbelievable 423,Angus,Test,
49AN1010,Bushwacker 41-93,Angus,Test,
7AN398,ButtKus,Angus,Test,
29AN2043,Byergo Black Magic 3348,Angus,Test,17803074
629AN2043,Byergo Black Magic 3348,Angus,Test,17803074
271AN8752,C Black Granite,Angus,Test,
11AN1028,Calculator 2720,Angus,Test,
100AN9550,California Traveler,Angus,Test,
606,Camillia Chance 37T,Angus,Test,
376,Candolier Forever 376,Angus,Test,7501542-90
29AR0181,Capstone 901,Angus,Test,671444
16AN0730,Car Don Warm Front B592,Angus,Test,14108017
16AN2850,CCLC Effective 3169,Angus,Test,17736171
21AN0732,Century Touchstone 131,Angus,Test,11601330
109AN106,CH Stacker 7040,Angus,Test,
237AN3126,Chalanger,Angus,Test,
16ANE307,Chaparral of Wye,Angus,Test,8180020
54AN7671,Charlo 5092,Angus,Test,
7AN454,Chisum 255,Angus,Test,
7AN54,Chisum 255,Angus,Test,
L2,Churchill of Wye,Angus,Test,602621286
16ANN410,Circle A Krugerrand 5475,Angus,Test,12511541
16ANN271,Circle A Western Hauler,Angus,Test,12187193
AN387,Circle A Western Hauler,Angus,Test,
36AN537,Circle Oak Traveler 524,Angus,Test,
16AN0119,Circle S 1418 Ideal 7085,Angus,Test,13267538
Eric 6,Clamarr Eric 6,Angus,Test,
272AR0129,CLIN 412B of Z12x28,Angus,Test,
16AN2534,Clines 41 of 1203 FA,Angus,Test,18058444
16ANN209,CM Excalibur 800E,Angus,Test,
90AN299,Coal Creek Oscar,Angus,Test,
16AN3027,Coal Valley Coltrane 757,Angus,Test,19059733
99AN5317,Cobra,Angus,Test,
100AN06587,Colburn Primo 5153,Angus,Test,18214870
100AN6587,Colburn Primo 5153,Angus,Test,
1AN1224,Cole Creek Cedar Ridge IV,Angus,Test,16134394
14AN00426,Coleman Charlo,Angus,Test,
16AN1752,Coleman Emblazon 841,Angus,Test,
49AN2912,Coleman Juneau 044,Angus,Test,
41AN6647,Coleman Rainmaker 356,Angus,Test,M15044
16AN1843,Coleman Rainmaker 9167,Angus,Test,16584705
7AN330,Coleman Regis,Angus,Test,
271AN3621,Coleman Rito 707-974,Angus,Test,16359676
49AN3081,Coleman Rito 707-974,Angus,Test,16359676
AN6647,Colman Rainmaker,Angus,Test,
7AN352,Combination,Angus,Test,
4682,COMMODORE OF WYE 302K,Angus,Test,6221286
7AN368,Comrade,Angus,Test,
8023,Conan of Wye,Angus,Test,
203AN1464,Concord,Angus,Test,
AN1372,Confidence Plus,Angus,Test,
551AN01508,Conley Express 7211,Angus,Test,18941522
551AN1508,Conley Express 7211,Angus,Test,18941522
109AN1997,Connealy  Express,Angus,Test,
7AN326,Connealy 044 062,Angus,Test,
7AN35,Connealy Capitalist,Angus,Test,16752262
7AN350,Connealy Confidence 0100,Angus,Test,
16AN2292,Connealy Confidence 667,Angus,Test,17537308
1AN1363,Connealy Conquest 4338,Angus,Test,17888696
237AN2199,Connealy Consensus,Angus,Test,
54AN01694,Connealy Dateline,Angus,Test,
54AN1694,Connealy Dateline,Angus,Test,12015519
AN1694,Connealy Dateline,Angus,Test,12015519
11AN1150,Connealy Earnan 076 E,Angus,Test,
272 AN1691,Connealy Emerald,Angus,Test,
AN1789,Connealy Final Product,Angus,Test,1584822
16AN0457,Connealy Forefront,Angus,Test,
237AN1978,Connealy Forward,Angus,Test,
1AN1058,Connealy Freightliner,Angus,Test,13026916
106AN0228,Connealy Front Page 0228,Angus,Test,13678411
90AN4869,Connealy Frontline 6686,Angus,Test,
11AN1103,Connealy Heat 0243,Angus,Test,
7AN335,Connealy Hemisphere 957L,Angus,Test,16468595
16AN2882,Connealy Iceman 4382,Angus,Test,17889454
29AN1697,Connealy Impression,Angus,Test,
14AN0359,Connealy In Focus 4925,Angus,Test,
1AN1217,Connealy In Sure 8524,Angus,Test,16205036
59AN1486,Connealy In Sure 8524,Angus,Test,16205036
14AN0325,Connealy Industry 5634,Angus,Test,15147028
28AN0450,Connealy Kincaid 137,Angus,Test,
29AN1556,Connealy Lead On,Angus,Test,
AN1556,Connealy Lead On,Angus,Test,13447282
1AN1434,Connealy Mainstay,Angus,Test,
AN6789,Connealy Packer,Angus,Test,
1AN1146,Connealy Right Answer 746,Angus,Test,15832750
AN1146,Connealy Right Answer 746,Angus,Test,
AN1625,Connealy Safe Lead,Angus,Test,
1AN1117,Connealy Thunder,Angus,Test,15148659
3557 (46AN557),Contact of Wye,Angus,Test,
46AN55,Contact of Wye,Angus,Test,
7AN426,Conversation,Angus,Test,
AN504,Cornerstone 890C,Angus,Test,12058370
7AN207,CRA Bextor,Angus,Test,13009379
16ANZ176,Crackerjack Baros SA562,Angus,Test,
237AN2072,Credence,Angus,Test,
29AR0122,Creek Side Copper,Angus,Test,138958
757,CRR Emulous 26-17,Angus,Test,
26-17 (21-A-659),CRR Emulous 26-17,Angus,Test,7682162
AN757,CRR Emulous 26-17,Angus,Test,
4114,CSU Rito 4114,Angus,Test,8235606
CCXB4114,Csu Rito 4114,Angus,Test,
1AN1151,D Jipsey Earl,Angus,Test,
157AN4105,DAF Ambush 2810,Angus,Test,
272AN0568,DAINES Ranch Tiger King 36V,Angus,Test,
1AN1090,Dalebanks Centennial,Angus,Test,
16AN2347,Dalebanks Consensus 3095,Angus,Test,17649540
16AN2230,Dalebanks Design 0345,Angus,Test,
16AN2320,Dalebanks Design 0345,Angus,Test,2810651
16AN1250,Dalebanks Design 5850,Angus,Test,
AN4605,Dalebanks Design 878 3790,Angus,Test,
16AN32,Dalebanks Emulation EXT 3341,Angus,Test,12142295
14AN149,Dalebank's Emulation EXT 3383,Angus,Test,12142293
16AN0674,Dalebanks Extender 6012,Angus,Test,
16AN1734,Dalebanks Final Answer 8809,Angus,Test,16379579
16AN1386,Dalebanks Foresight 6866,Angus,Test,
16AN1617,Dalebanks RP 7900,Angus,Test,16073424
B72,Dallop King B72,Angus,Test,
14AN000323,Dash,Angus,Test,15656868
179AN60,Dawson's Cherokee 166,Angus,Test,
109AN600,DCC NEW LOOK 101,Angus,Test,
14AN260,DCC Rito Plantium 3J4,Angus,Test,14575900
237AN1713,DDA Emblazon 27C,Angus,Test,
507AN379,Deer Valley All In,Angus,Test,17307074
7AN379,Deer Valley All In,Angus,Test,
16AN2889,Deer Valley Coal Train 41157,Angus,Test,18030488
54AN1670,Destiny,Angus,Test,12398268
014An00110,DHD Traveler 6807,Angus,Test,
090AN00548,DHD Traveler 6807,Angus,Test,
14AN110,DHD Traveler 6807,Angus,Test,10858958
90AN548,DHD Traveler 6807 (pink),Angus,Test,
AN422,Discovery,Angus,Test,
29AN2018,DL Dually 86,Angus,Test,18608253
29AN1608,Dr J Analyst M250,Angus,Test,14292649
16ANT349,Drakkar Noir,Angus,Test,1162934
16AN1439,DRI Freightliner S029,Angus,Test,15797669
16AN2167,DRI Super Bowl Z115,Angus,Test,
16AN1740,DRMCTR Objective 7J64,Angus,Test,15791187
AN4999,DS Newlook,Angus,Test,
16AN2157,DSA High Objective 1016,Angus,Test,16703591
16AN1915,DSA New Direction 1019,Angus,Test,16703594
16AN1016,DSL Stocker 436,Angus,Test,14959113
1AN1207,DUFF Angus 011,Angus,Test,
16AN2810,DUFF Carry On 252,Angus,Test,17542203
157AN3244,DUFF Jet Set 7122,Angus,Test,15944145
1AN1366,DUFF Napoleon 232,Angus,Test,
109AN987,DUFF New Edition 6108,Angus,Test,
157ANT2305 (New Edition),DUFF New Edition 6108,Angus,Test,
54AN5178,DUFF ZWT Encore 702,Angus,Test,15944136
AN5178,DUFF ZWT Encore 702,Angus,Test,
16AN0258,E & B 4137 EXT 92,Angus,Test,
16AN2413,E & B Harley Lar 3148,Angus,Test,17616279
16AN1037,E&B E 161 Precision 4120,Angus,Test,14751108
16AN23,EAF Emulous 896,Angus,Test,8929252
1AN1160,Eagle Eye,Angus,Test,
Easy Impact,Easy Impact,Angus,Test,
16AN1060,Eby Iron Mountain 0146,Angus,Test,16959329
016 (41AN1016),Ee 30 1254 Ideal 5254 960,Angus,Test,9921007
129AN1471,EF Commando 1366,Angus,Test,
AN1774,EF Complement 8088,Angus,Test,
54AN3700,EGL Sleep Nights 2179,Angus,Test,14454552
AN11,Eileenmere,Angus,Test,
100AN2523,El Captain 6510,Angus,Test,
156,El Dorado 156 of Ideal,Angus,Test,9934739
14AN486,Ellingson Ribeye 3195,Angus,Test,
7AN282,Emblazon,Angus,Test,
16AN1744,Emblazon - 3,Angus,Test,
AN1489,Emblazon 6569,Angus,Test,
14AN273,Emblazon 702,Angus,Test,
529AN1938,Emblazon 999,Angus,Test,16665803
31,Emulation 31,Angus,Test,6064368
29AN1388,Emulation N Bar 5522,Angus,Test,10095639
90AN353,Emulation N Bar 5522,Angus,Test,10095639
90AN353 or AN1388,Emulation N Bar 5522,Angus,Test,10095639
178,Emulous 178,Angus,Test,
AN21,Emulous 333,Angus,Test,
12AN653,Emulous Extra/EMO E ideal,Angus,Test,
153,Emulous Master 209,Angus,Test,5037029
29AN0236,Epic R397,Angus,Test,
14AN259,Equator 395M,Angus,Test,
AN418,Eurloch 715B,Angus,Test,
237AN1986,EXAR 263C,Angus,Test,15012747
237AN2334,EXAR Classen 1422B,Angus,Test,
237AN2463,EXAR Denver 2002B,Angus,Test,
237AN3247,EXAR Engineer 7419B,Angus,Test,18728176
16AN3035,EXAR Generation 6871B,Angus,Test,18528846
109AN593,EXAR New Look 2971,Angus,Test,
109AN693,EXAR New Look 2971,Angus,Test,
14AN413,EXAR Powerhouse 2077B,Angus,Test,
237AN2566,Exar Resistol 3710B,Angus,Test,17434366
29AN1959,Exar Stud 4658B,Angus,Test,
262AN0819,EXAR Untapped 4710B,Angus,Test,
36AN1284,EXG RS First Rate S903,Angus,Test,15484543
7AN212,Expectation,Angus,Test,
AN1657,EXT 1657,Angus,Test,
AN3389,EXT 2705,Angus,Test,
1AN743 & 21AN743,EXT 473,Angus,Test,
114AN0710,F V 20K King 308M,Angus,Test,1117753
FO203,F0203,Angus,Test,
16AN0815,FAF Rosemayne Focal Point,Angus,Test,13962082
21AN65T,Fairfield Hi Guy,Angus,Test,9506886
16AN1370,Falcon On Target,Angus,Test,
AN2087,Famous 7001,Angus,Test,
90AN5244,Famous 7001 7001,Angus,Test,
16ANT743,FAR Bando 2563,Angus,Test,11942237
16ANT921,FAR Bona Fide,Angus,Test,2286775
16ANT932,FAR Bona Fide,Angus,Test,2286775
16ANT558,Far Bravo 981,Angus,Test,11670481
16AN0340,Far Prime Time 839,Angus,Test,
61120,Fargo Of Wye,Angus,Test,
54AN6157,Father of Wye,Angus,Test,5221331
54AN2232,Feltons Meatpacker 62,Angus,Test,13221587
47AN1060,Feltons V Fillibuster 6,Angus,Test,12705858
16AN2398,Ferguson Stronghold 195E,Angus,Test,18995930
16AN2938,Ferguson Stronghold 195E,Angus,Test,18995930
16AN0162,FF 563 Precision 256,Angus,Test,
16AN0184,FF 852 Fix It,Angus,Test,
16AN0341,FF New Design 958,Angus,Test,
109AN1174,FF PSI 800,Angus,Test,
AN5959,Final Answer 1013,Angus,Test,
16AN2044,Fink 1659 of 5523 5522,Angus,Test,17289168
16AN0851,Fink's 1191 of 4168 6148,Angus,Test,
AN1236,Finks 5522-6148,Angus,Test,
54an1236,Finks 5522-6184,Angus,Test,11060295
16AN0647,Finks 7255 M of 393,Angus,Test,
16AN0419,Finks 9101 of 7293,Angus,Test,13612531
16AN0716,Finks Cowmaker,Angus,Test,
14AN0373,First Class 0207,Angus,Test,16687685
AN1284,First Rate,Angus,Test,15484543
7AN374,First-N-Goal,Angus,Test,
29AN1193,FLINTZ MARSHALL 592,Angus,Test,7441336
6764,Forceful Of Wye,Angus,Test,
14AN204,Fountains Fortress 52,Angus,Test,13246306
49AN2695,Frontman R001,Angus,Test,
16AN0925,FS 5204 Traveler 7742,Angus,Test,
154AN323,G13 Encore 4078,Angus,Test,
16AN3030,Galaxy Ramp It Up 6081,Angus,Test,18609797
48AN1226,Gamblers Jaguar,Angus,Test,
48AN1033,Gambles Hot Rod,Angus,Test,13897812
54AN7148,Game Changer,Angus,Test,
7AN423,GAR 100X,Angus,Test,17774305
AN255,GAR 50/50,Angus,Test,
